D1_KND_100,D1_KND_50,D1_KND_Veh,D1_UNK_Veh,D2_KND_100,D2_KND_50,D2_KND_Veh,D2_UNK_Veh,D3_KND_100,D3_KND_50,D3_KND_Veh,D3_UNK_Veh
0.022427,0.026971,0.020921,0.030075,0.026992,0.019013,0.033358,0.033719,0.054818,0.046944,0.042046,0.065505
0.024370,0.054614,0.036613,0.043495,0.005867,0.045868,0.031488,0.073906,0.014279,0.027079,0.016659,0.055190
0.031353,0.022679,0.017890,0.058129,0.014540,0.039604,0.040120,0.021262,0.021748,0.023789,0.028240,0.054974
0.022087,0.019534,0.024218,0.063497,0.053366,0.018018,0.009940,0.039922,0.037718,0.036772,0.012763,0.037321
0.063698,0.015683,0.032236,0.019712,0.035200,0.038874,0.010195,0.030480,0.032770,0.064373,0.018268,0.029741
0.014498,0.027935,0.001585,0.043378,0.061010,0.016382,0.026445,0.022319,0.055740,0.056375,0.012242,0.026926
0.025899,0.018349,0.018874,0.062789,0.022877,0.024245,0.016876,0.050936,0.036927,0.054128,0.018169,0.028117
0.035209,0.019768,0.027810,0.053592,0.041598,0.041451,0.029760,0.048679,0.031316,0.012063,0.024018,0.030502
0.035826,0.040430,0.012658,0.049537,0.035469,0.041949,0.005985,0.042679,0.021271,0.043956,0.019056,0.030857
0.021567,0.043876,0.016416,0.047319,0.026062,0.047590,0.030375,0.032258,0.026993,0.045595,0.048203,0.042370
0.040589,0.044840,0.028231,0.035644,0.038729,0.036525,0.015093,0.042568,0.044683,0.047041,0.038693,0.031779
0.020841,0.048403,0.036969,0.031147,0.022963,0.015880,0.011966,0.025253,,0.029344,,0.037278
0.036594,0.021779,0.017657,0.068212,,,,,,,,
0.039205,0.037231,0.013006,0.040457,,,,,,,,
0.036384,0.043609,0.018082,0.036084,,,,,,,,
