year,#Morfigo,#Konforme,#Skibidi,#Poputah,#Elgibidi,#Noffinoffs
0,3,7,1,4,4,6
1,5,25,1,10,5,16
2,7,35,1,20,8,23
3,10,48,1,27,9,31
4,9,54,1,32,10,42
5,5,40,1,17,8,30
6,7,49,1,18,8,39
7,6,54,1,18,8,38
8,5,33,0,12,4,15
9,8,42,0,15,4,22
10,10,55,0,17,5,27
11,11,67,0,17,5,30
12,14,76,0,19,4,38
13,15,83,0,19,4,48
14,8,48,0,14,4,22
15,7,54,0,16,5,18
16,9,62,0,16,5,22
17,10,65,0,17,5,23
18,13,63,0,21,6,25
19,13,60,0,22,7,28
20,10,41,0,17,3,22
21,10,46,0,18,3,29
22,13,51,0,22,3,38
23,13,59,0,25,3,41
24,10,48,0,20,1,23
25,11,56,0,26,1,31
26,7,51,0,23,1,19
27,6,33,0,17,1,14
28,6,50,0,24,1,29
29,6,64,0,30,1,36
30,6,74,0,32,1,41
31,1,50,0,25,1,28
32,1,37,0,8,1,18
33,1,55,0,8,1,26
34,1,74,0,8,1,39
35,1,86,0,8,1,43
36,0,98,0,8,1,48
37,0,115,0,8,1,49
38,0,62,0,7,1,20
39,0,62,0,7,1,25
40,0,57,0,6,1,21
41,0,68,0,6,1,29
42,0,74,0,10,1,40
43,0,77,0,12,1,43
44,0,80,0,15,1,37
45,0,37,0,10,1,20
46,0,41,0,12,1,23
47,0,42,0,19,1,24
48,0,50,0,25,1,31
49,0,56,0,32,1,34
50,0,62,0,44,1,43
51,0,56,0,31,0,28
52,0,58,0,22,0,23
53,0,79,0,24,0,31
54,0,65,0,11,0,18
55,0,84,0,15,0,28
56,0,108,0,16,0,37
57,0,91,0,16,0,25
58,0,84,0,16,0,26
59,0,95,0,16,0,29
60,0,33,0,8,0,7
61,0,43,0,8,0,9
62,0,49,0,8,0,12
63,0,57,0,7,0,15
64,0,71,0,7,0,16
65,0,82,0,6,0,18
66,0,89,0,7,0,17
67,0,97,0,9,0,17
68,0,106,0,12,0,17
69,0,78,0,8,0,12
70,0,58,0,12,0,5
71,0,70,0,17,0,5
72,0,93,0,21,0,4
73,0,104,0,21,0,4
74,0,130,0,24,0,4
75,0,156,0,25,0,3
76,0,136,0,23,0,3
77,0,130,0,23,0,3
78,0,142,0,26,0,3
79,0,134,0,24,0,3
80,0,144,0,27,0,2
81,0,125,0,25,0,2
82,0,161,0,26,0,4
83,0,142,0,29,0,5
84,0,169,0,26,0,6
85,0,154,0,28,0,5
86,0,156,0,28,0,5
87,0,125,0,22,0,6
88,0,142,0,25,0,5
89,0,153,0,30,0,6
90,0,158,0,28,0,4
91,0,153,0,30,0,4
92,0,162,0,30,0,5
93,0,148,0,23,0,4
94,0,174,0,27,0,7
95,0,162,0,26,0,7
96,0,167,0,26,0,4
97,0,160,0,27,0,5
98,0,148,0,23,0,6
99,0,161,0,21,0,5
100,0,196,0,20,0,4
101,0,187,0,21,0,3
102,0,183,0,20,0,3
103,0,200,0,21,0,4
104,0,189,0,21,0,4
