Date,AnimalID,StartTime,EndTime,TotalResponses,ReinforcedResponses,0-2s,2-4s,4-6s,6-8s,8-10s,10-12s,12-14s,14-16s,16-18s,18-20s,20-22s,22-24s,24-26s,26-28s,28-30s,30-32s,32-34s
09/02/25,1,8:13:56,9:17:26,423.000,106.000,105,9,13,7,10,17,25,21,25,17,11,8,4,9,4,5,2
09/02/25,2,8:13:56,9:17:26,237.000,99.000,99,3,11,5,8,8,2,3,5,6,7,5,4,7,7,7,3
09/02/25,3,8:13:56,9:17:26,224.000,80.000,83,7,14,13,12,7,5,4,4,4,7,2,8,5,5,3,5
09/02/25,4,8:13:56,9:17:26,749.000,96.000,121,32,41,42,22,32,22,24,17,27,30,27,24,25,27,11,20
09/02/25,5,8:13:56,9:17:26,157.000,79.000,78,3,5,12,2,1,4,1,1,0,2,1,1,1,1,0,1
09/02/25,6,8:13:56,9:17:26,220.000,94.000,97,14,15,13,7,2,2,4,3,6,7,5,2,6,4,4,3
09/02/25,1,9:50:26,10:50:52,117.000,106.000,106,2,4,0,1,1,0,0,1,0,0,0,1,0,0,0,0
09/02/25,2,9:50:34,10:50:52,83.000,53.000,52,1,2,3,3,3,0,1,0,1,1,2,1,2,0,0,2
09/02/25,3,9:50:34,10:50:52,540.000,89.000,101,42,32,36,18,20,8,27,17,28,23,12,19,13,8,3,7
09/02/25,4,9:50:34,10:50:52,1659.000,63.000,283,326,183,84,63,22,19,26,82,85,80,57,38,30,21,26,22
09/02/25,5,9:50:34,10:50:52,411.000,92.000,99,10,12,10,8,9,12,19,8,15,9,5,11,5,4,4,4
09/02/25,6,9:50:34,10:50:52,515.000,77.000,80,10,21,26,15,10,11,14,20,29,28,34,47,27,18,20,17
09/02/25,1,11:04:41,12:04:49,319.000,96.000,105,12,24,10,10,10,7,9,10,7,12,9,8,5,2,3,8
09/02/25,2,11:04:41,12:04:49,115.000,71.000,71,2,2,6,7,3,1,0,0,1,2,1,1,2,2,0,0
09/02/25,3,11:04:41,12:04:49,442.000,103.000,105,16,15,7,8,8,1,9,8,10,12,15,13,9,11,15,11
09/02/25,4,11:04:30,12:04:49,180.000,112.000,114,12,7,7,6,4,0,1,1,4,1,0,1,2,5,1,4
09/02/25,5,11:04:41,12:04:49,135.000,97.000,98,10,3,2,2,2,1,2,0,0,1,1,0,2,1,0,0
09/02/25,6,11:04:41,12:04:49,296.000,111.000,113,8,22,20,9,5,4,5,7,3,3,0,0,1,1,2,1
09/02/25,1,12:15:19,13:15:27,212.000,88.000,91,1,4,4,8,7,7,10,10,8,6,4,4,6,3,1,2
09/02/25,2,12:15:19,13:15:27,191.000,82.000,83,3,3,3,4,5,5,6,6,9,12,3,6,6,3,2,3
09/02/25,3,12:15:19,13:15:27,140.000,71.000,71,5,8,4,6,2,7,2,0,3,5,3,5,1,3,2,1
09/02/25,4,12:15:09,13:15:27,165.000,107.000,110,2,7,5,6,3,3,1,5,3,1,1,2,0,1,1,2
09/02/25,5,12:15:19,13:15:27,329.000,98.000,97,4,10,10,15,3,9,12,10,8,15,3,7,10,4,3,2
09/02/25,6,12:15:19,13:15:27,503.000,107.000,116,10,22,19,20,20,25,33,18,22,15,21,9,15,9,7,6
